标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
OpenAI“宫斗戏”背后的原因是什么？AI夜话，对话几位当事人科技大佬，谈谈这个话题,https://www.bilibili.com/video/BV1834y1w7R3/,https://i2.hdslb.com/bfs/archive/79395c6f7210f625c52080e0b9c79faeed7b038e.jpg@672w_378h_1c_!web-search-common-cover,4483,4,05:19,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-24
对话前耶鲁大学校长理查德·莱文，谈什么才是真正的教育？我们该如何理解通识教育？ | AI夜话,https://www.bilibili.com/video/BV1qM411d7Fq/,https://i1.hdslb.com/bfs/archive/efebc1600193987a24761ff73933e373b67fa9a6.jpg@672w_378h_1c_!web-search-common-cover,3.8万,17,05:14,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-6
萧伯纳，诺贝尔文学奖得主，戏剧人生的幽默智慧 | AI夜话,https://www.bilibili.com/video/BV1Hj411W7ea/,https://i0.hdslb.com/bfs/archive/9bdc0157046e195b0eb35457866c982b73af322d.jpg@672w_378h_1c_!web-search-common-cover,5772,9,02:55,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-18
AI心理学家阿德勒，告诉我们如何获得真正的自由 | AI夜话,https://www.bilibili.com/video/BV1q8411v7CY/,https://i0.hdslb.com/bfs/archive/4b4b2e28774706c26ba6794db76d72883fa3b1b1.jpg@672w_378h_1c_!web-search-common-cover,2.1万,22,03:58,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-20
对话AI席勒，德国诗人、哲学家，谈审美教育的意义 | AI夜话,https://www.bilibili.com/video/BV17P411h759/,https://i1.hdslb.com/bfs/archive/6c05c1ae80839be4d6d5612bf2768161f57e59ab.jpg@672w_378h_1c_!web-search-common-cover,8968,8,05:12,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-5
人工智能时代的创造力教育，对话教育专家肯·罗宾逊 | AI夜话,https://www.bilibili.com/video/BV185411q7u6/,https://i1.hdslb.com/bfs/archive/73e5f7b23b77f3cc2d475b013aa9cea71b20d944.jpg@672w_378h_1c_!web-search-common-cover,4388,0,04:41,https://space.bilibili.com/570352559,AI赵大师兄, · 1-5
对话《当下的力量》作者，灵性导师埃克哈特·托利，为什么“当下”具有力量？ | AI夜话,https://www.bilibili.com/video/BV1Ku4y1g7pf/,https://i0.hdslb.com/bfs/archive/55f03af6dc29b738e3137d7253fdad00cc1ffa47.jpg@672w_378h_1c_!web-search-common-cover,1.8万,10,05:39,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-2
“毒舌小王子”王尔德：美貌与才华兼具，他的毒舌言论，毒到你了吗？ | AI夜话,https://www.bilibili.com/video/BV1KN4y1S7wR/,https://i1.hdslb.com/bfs/archive/fd3d44d5b8f43a38b4cf69176ae5125e1aaa13de.jpg@672w_378h_1c_!web-search-common-cover,14.6万,135,02:50,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-17
对话AI乔布斯，企业家中的艺术家，伟大的产品是如何做出来的 | AI夜话,https://www.bilibili.com/video/BV1h14y1y7tF/,https://i0.hdslb.com/bfs/archive/1c7804aa1d9624b271859e92944b4a1a99d1a768.jpg@672w_378h_1c_!web-search-common-cover,2426,4,05:45,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-31
对话赫尔曼·黑塞，《悉达多》作者，诺贝尔文学奖得主，谈人们如何走出精神危机？ | AI夜话,https://www.bilibili.com/video/BV1V34y1u7TB/,https://i1.hdslb.com/bfs/archive/9d6245d97eb909200c3a205aec195d00501dff34.jpg@672w_378h_1c_!web-search-common-cover,3.1万,12,05:09,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-21
罗伯特·亨利：什么是真正的艺术精神？什么是好的艺术教育？ | AI夜话,https://www.bilibili.com/video/BV1UK41147fj/,https://i0.hdslb.com/bfs/archive/d32d2dbcec053b4a40454abd28b7892852731d0d.jpg@672w_378h_1c_!web-search-common-cover,2938,1,04:30,https://space.bilibili.com/570352559,AI赵大师兄, · 1-3
对话劳斯莱斯创始人，亨利·莱斯，谈豪华品牌的创业故事 | AI夜话,https://www.bilibili.com/video/BV1xu411F7c4/,https://i2.hdslb.com/bfs/archive/b1f89a569a08c1065e1297f62f5312a44ebecf96.jpg@672w_378h_1c_!web-search-common-cover,3674,3,04:03,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-13
诺贝尔奖得主、物理学家薛定谔，谈量子力学与生命本质 | AI夜话,https://www.bilibili.com/video/BV1LS421N78H/,https://i1.hdslb.com/bfs/archive/65b304fb3690d0ad5d7b939927eade2559c6aca9.jpg@672w_378h_1c_!web-search-common-cover,7078,2,05:49,https://space.bilibili.com/570352559,AI赵大师兄, · 2-22
对话AI乔布斯，谈ChatGPT与创新文化 | AI夜话,https://www.bilibili.com/video/BV1qp4y1J7St/,https://i0.hdslb.com/bfs/archive/ebe31899a88ef612c8095c56fba1914ffc8a9adc.jpg@672w_378h_1c_!web-search-common-cover,4214,4,05:11,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-17
对话AI杜尚，反艺术的与艺术家，到底什么是艺术？我们应该如何看待艺术？ | AI夜话,https://www.bilibili.com/video/BV1e34y1P7PN/,https://i1.hdslb.com/bfs/archive/c19c598651713bbbbcf25a8647dc3e69c0270905.jpg@672w_378h_1c_!web-search-common-cover,1793,0,05:09,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-17
对话汉娜·阿伦特：我们如何避免平庸之恶？如何创造更加美好的公共生活？ | AI夜话,https://www.bilibili.com/video/BV1Hc411o7pb/,https://i0.hdslb.com/bfs/archive/3b1e67d52288172ef85be3229da6a7e275168518.jpg@672w_378h_1c_!web-search-common-cover,1.4万,10,06:07,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-23
对话AI诺贝尔：科技如何创造人类美好未来？ | AI夜话,https://www.bilibili.com/video/BV1QB4y1Z742/,https://i0.hdslb.com/bfs/archive/ec9a4bece4fa4d6a35b71cb302c676177b3af33b.jpg@672w_378h_1c_!web-search-common-cover,2256,0,05:13,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-16
对话AI尼采，伟大的哲学家，谈AI时代的生存哲学 | AI夜话,https://www.bilibili.com/video/BV1e8411976W/,https://i2.hdslb.com/bfs/archive/f649dfb66d91227526b4d60d256819ea03f367c7.jpg@672w_378h_1c_!web-search-common-cover,7.9万,48,04:53,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-18
人工智能时代的生命形态长什么样？对话《生命3.0》作者、麻省理工物理系终身教授迈克斯·泰格马克 | AI夜话,https://www.bilibili.com/video/BV1ja4y1R7z4/,https://i0.hdslb.com/bfs/archive/f0c484ab98b962713f20e146ed969ca683bcf909.jpg@672w_378h_1c_!web-search-common-cover,3268,1,05:55,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-14
抢跑神童为什么会甘于躺平？谁的错？对话教育专家，谈谈自私的父母 | AI夜话,https://www.bilibili.com/video/BV1vu4y167hM/,https://i2.hdslb.com/bfs/archive/eed2562c444046aaef3c7af94a7e3f4f55556de7.jpg@672w_378h_1c_!web-search-common-cover,2144,2,03:37,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-27
对话艺术家毕加索，谈立体主义风格，以及源源不断创造力密码 | AI夜话,https://www.bilibili.com/video/BV18A4m1G7xC/,https://i2.hdslb.com/bfs/archive/95732942d66f1675b340c9cefc0f3894e6918608.jpg@672w_378h_1c_!web-search-common-cover,2355,4,04:43,https://space.bilibili.com/570352559,AI赵大师兄, · 2-17
黑天鹅理论之父塔勒布，谈如何构建反脆弱能力，如何应对不确定性 | AI夜话,https://www.bilibili.com/video/BV16c411x7dy/,https://i1.hdslb.com/bfs/archive/ceb44c48934d96573d6b647725a683b2af6eb2f9.jpg@672w_378h_1c_!web-search-common-cover,1.3万,5,04:34,https://space.bilibili.com/570352559,AI赵大师兄, · 1-11
对话硅谷知名投资人AI纳瓦尔，谈创富的秘密 | AI夜话,https://www.bilibili.com/video/BV19V411g7xu/,https://i1.hdslb.com/bfs/archive/81e5143284e916c62b08517ef809dd39f0c034e6.jpg@672w_378h_1c_!web-search-common-cover,5011,3,04:05,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-7
对话AI查理·芒格，关于财富创造的人生智慧 | AI夜话,https://www.bilibili.com/video/BV1U34y1K7uR/,https://i1.hdslb.com/bfs/archive/2954dc5af9e637d68fc7de75b4698ac8e8e5465e.jpg@672w_378h_1c_!web-search-common-cover,4138,1,04:49,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-14
对话陀思妥耶夫斯基，从《卡拉马佐夫兄弟》看陀翁世界观 | AI夜话,https://www.bilibili.com/video/BV11i4y1h7Sx/,https://i0.hdslb.com/bfs/archive/b9a21c67dead6a5d1cce7f7623c291d596199387.jpg@672w_378h_1c_!web-search-common-cover,1.9万,19,04:35,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-29
华为VS苹果，科技领袖谈华为崛起与商业竞争 | AI夜话,https://www.bilibili.com/video/BV1dh4y1w7E8/,https://i1.hdslb.com/bfs/archive/53021662e9a8bfd0ee84afc40b97dd55df7b78b2.jpg@672w_378h_1c_!web-search-common-cover,3901,1,05:41,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-15
世界首富的教育理念 对话AI马斯克 谈人工智能时代的教育 | AI夜话,https://www.bilibili.com/video/BV1Ar4y1Z7Gi/,https://i1.hdslb.com/bfs/archive/e075ca9ab4a6e8463f8569519e47314b4335d938.jpg@672w_378h_1c_!web-search-common-cover,6090,3,05:23,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-10
娱乐向: 两个AI约会啦*-*,https://www.bilibili.com/video/BV1qh4y1i7SF/,https://i1.hdslb.com/bfs/archive/3794cf05b4db8e9cbc7cc72d5e228fd27bb54638.jpg@672w_378h_1c_!web-search-common-cover,21.5万,180,01:47,https://space.bilibili.com/442454826,新竹AI, · 2023-10-26
反战斗士约翰·列侬，我们应如何面对战争？ | AI夜话,https://www.bilibili.com/video/BV1GC4y1S7ND/,https://i0.hdslb.com/bfs/archive/c5bd32386b90457e89ddf68d2e46f6ed0d913232.jpg@672w_378h_1c_!web-search-common-cover,1.7万,23,05:07,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-11
他人即地狱？对话AI萨特，谈存在主义哲学 | AI夜话,https://www.bilibili.com/video/BV16j411t74R/,https://i2.hdslb.com/bfs/archive/20aeacca1bd17b8be70aa0266abe1479aa2a86fd.jpg@672w_378h_1c_!web-search-common-cover,1.8万,24,04:46,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-29
克莱因蓝背后的天才艺术家，竟然是行为艺术鼻祖 | AI 夜话,https://www.bilibili.com/video/BV1dz4y1A7dx/,https://i0.hdslb.com/bfs/archive/65d97960ef064299a6b0c891cfea7aefd2296c73.jpg@672w_378h_1c_!web-search-common-cover,3533,1,04:19,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-6
恒大崩盘启示录：商人群体需要怎样的商业哲学 | AI夜话,https://www.bilibili.com/video/BV1RC4y1o7Hz/,https://i1.hdslb.com/bfs/archive/0c44b985f4dbcda291c401b336116d20f8ea754e.jpg@672w_378h_1c_!web-search-common-cover,2159,0,04:24,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-3
对话AI虚拟女友，美国女网红做了个AI虚拟女友，体验一下 | AI夜话,https://www.bilibili.com/video/BV18V411T7UD/,https://i1.hdslb.com/bfs/archive/c4f69f55466aa73c36c81097c5594e7592ea19bc.jpg@672w_378h_1c_!web-search-common-cover,6.7万,47,02:50,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-7-13
人工智能如何冲击和重塑品牌营销，听听各路大咖怎么说？ | AI夜话,https://www.bilibili.com/video/BV1nw411V7c3/,https://i1.hdslb.com/bfs/archive/5195b6cda7fa8a383310b78532bb90597e386677.jpg@672w_378h_1c_!web-search-common-cover,1975,4,03:05,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-20
设计鬼才、设计未来之人——巴克敏斯特·富勒，伟大的全才型设计师、建筑师 | AI夜话,https://www.bilibili.com/video/BV1XA4m157qg/,https://i0.hdslb.com/bfs/archive/08075196fe9cda670da22979b7b4e97c8cc3e2f5.jpg@672w_378h_1c_!web-search-common-cover,2156,0,07:43,https://space.bilibili.com/570352559,AI赵大师兄, · 2-6
查理·卓别林：当我开始真正爱自己 | AI诗朗诵,https://www.bilibili.com/video/BV1kC4y1D7fK/,https://i1.hdslb.com/bfs/archive/e4dc7bad08115e6c1bfd587c39027547ed3658df.jpg@672w_378h_1c_!web-search-common-cover,8.8万,7,03:08,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-12
如果生命只是大梦一场，你该怎么办？对话AI尼采，谈谈《大梦》背后的答案 | AI夜话,https://www.bilibili.com/video/BV1RK4y1F7ma/,https://i0.hdslb.com/bfs/archive/d017a69ba0a96a4eaabb7dbae5aba57d16f4e8fa.jpg@672w_378h_1c_!web-search-common-cover,8305,10,04:10,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-26
用AI的方式，向米兰·昆德拉致敬！思想不朽，精神永存 | AI夜话 赵大师兄,https://www.bilibili.com/video/BV1ox4y1o7eX/,https://i2.hdslb.com/bfs/archive/4155ee34166383b7638ab443784a66012eb22055.jpg@672w_378h_1c_!web-search-common-cover,3117,1,05:00,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-7-14
真正的教育是什么样子的？对话前苏联教育理论教育实践家，苏霍姆林斯基 | AI夜话,https://www.bilibili.com/video/BV1gN411u7Sf/,https://i2.hdslb.com/bfs/archive/a8e6ba009f0b96664dd7957000ceb5c61f21298c.jpg@672w_378h_1c_!web-search-common-cover,2万,18,04:18,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-15
对话AI尼采：人们为什么对巴以冲突各执一词？ | AI夜话,https://www.bilibili.com/video/BV13j41147gy/,https://i0.hdslb.com/bfs/archive/9abefd347d053fa48a2e0dee2bfbbd67c7e1896a.jpg@672w_378h_1c_!web-search-common-cover,7272,21,03:51,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-18
中国人民的老朋友，池田大作，一生致力推动文化、教育、和平，堪称立德、立言、立功 | AI夜话,https://www.bilibili.com/video/BV11U421Z7YM/,https://i2.hdslb.com/bfs/archive/7c05423361b5d5b65e3f00d91ed6ca8d7720eb50.jpg@672w_378h_1c_!web-search-common-cover,2378,3,08:12,https://space.bilibili.com/570352559,AI赵大师兄, · 2-2
行为艺术家博伊斯：人人都是艺术家？ | AI夜话,https://www.bilibili.com/video/BV1QN411M769/,https://i2.hdslb.com/bfs/archive/c7f7a5f340f076056d8ff93446e7e30c9c7a4adc.jpg@672w_378h_1c_!web-search-common-cover,2816,3,04:48,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-14
人类历史上绝无仅有的全才，达·芬奇的创造力密码，人类创造力 VS AI创造力 | AI夜话,https://www.bilibili.com/video/BV1j64y1P7hy/,https://i2.hdslb.com/bfs/archive/d31ec09ab98eeab064225c430c564da186658559.jpg@672w_378h_1c_!web-search-common-cover,3256,2,05:19,https://space.bilibili.com/570352559,AI赵大师兄, · 1-25
诺贝尔文学奖得主、伟大诗人叶芝，诗朗诵：当你老了,https://www.bilibili.com/video/BV1kv411c7Vj/,https://i2.hdslb.com/bfs/archive/bbac52805c470e6ef160e330bd4ffcd441bea04d.jpg@672w_378h_1c_!web-search-common-cover,9383,1,00:57,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-22
悲观主义哲学家，叔本华，谈人生智慧，如何正确理解他的悲观？ |  AI夜话,https://www.bilibili.com/video/BV1Cz4y1c7HN/,https://i2.hdslb.com/bfs/archive/c8a0e6af6ac93595aa689841b968a7f798cf9164.jpg@672w_378h_1c_!web-search-common-cover,4.1万,35,04:24,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-20
对话AI马斯克，谈脑机接口 与 人工智能  | AI夜话,https://www.bilibili.com/video/BV1d94y1B7zp/,https://i1.hdslb.com/bfs/archive/887f99b2fda785f432991013a9f3ae9a29a229cc.jpg@672w_378h_1c_!web-search-common-cover,3135,2,03:54,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-21
对话AI鲍勃·迪伦，谈刀郎音乐，论音乐哲学，音乐的力量 | AI夜话,https://www.bilibili.com/video/BV1hj411B7UC/,https://i0.hdslb.com/bfs/archive/3e759c9236387b838fe8998649b01423aed1d06c.jpg@672w_378h_1c_!web-search-common-cover,4022,1,05:10,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-16
这个网站能让名人说你想听的话吗？高仿名人语音，等你来体验,https://www.bilibili.com/video/BV1z94y1p76B/,https://i0.hdslb.com/bfs/archive/3250811604547694c47f9d69b8574910484cf292.jpg@672w_378h_1c_!web-search-common-cover,1307,1,01:37,https://space.bilibili.com/29946763,libmii, · 2023-9-24
ChatGPT王炸级更新，我们应该焦虑吗？人类应该如何驾驭AI？ 对话OpenAI创始人山姆·奥特曼 | AI夜话,https://www.bilibili.com/video/BV1Yj411a7rh/,https://i0.hdslb.com/bfs/archive/159309483904bf0ba7ebf43f3ee1e2375cf65730.jpg@672w_378h_1c_!web-search-common-cover,3748,2,03:24,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-11
对话AI维特根斯坦，刀郎《罗刹海市》中的维特根斯坦的哲学主张是什么 | AI夜话,https://www.bilibili.com/video/BV1494y1k7Zx/,https://i0.hdslb.com/bfs/archive/60fe567453f7efc047225fca0c091bce8ddcde19.jpg@672w_378h_1c_!web-search-common-cover,6834,8,04:10,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-13
知名艺人离婚热点再次抢占头条，是什么导致婚姻关系破裂？又该如何避免婚姻走向灭亡？对话心理学家戈特曼博士 | AI夜话,https://www.bilibili.com/video/BV1mw411B7QY/,https://i1.hdslb.com/bfs/archive/ac4d7e0b42856a36a3c600ee32f310009f14403b.jpg@672w_378h_1c_!web-search-common-cover,2415,0,04:58,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-10-25
对话梅耶·马斯克、传奇女性，世界首富马斯克的母亲，谈女性成长 | AI夜话,https://www.bilibili.com/video/BV1Lj41127Pa/,https://i2.hdslb.com/bfs/archive/d36b0006e0f5167bb012fded318a31384e696596.jpg@672w_378h_1c_!web-search-common-cover,5057,1,04:28,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-28
博尔赫斯：我该用什么留住你？ | AI诗朗诵,https://www.bilibili.com/video/BV1GC4y1P7YS/,https://i0.hdslb.com/bfs/archive/5f5c7b7a9b4bdcbb2909d64689ed7b41eeb611a8.jpg@672w_378h_1c_!web-search-common-cover,7076,0,01:24,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-11-23
对话AI理查德·布兰森，维珍集团创始人，谈企业家的冒险精神 | AI夜话,https://www.bilibili.com/video/BV1k34y1T7QN/,https://i0.hdslb.com/bfs/archive/e2e91452c15d06abb1b0c2cc7886408ccef6cee9.jpg@672w_378h_1c_!web-search-common-cover,1442,0,06:07,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-3
对话AI荣格，与心理学家谈抑郁症的根源与治疗方法 | AI夜话 赵大师兄,https://www.bilibili.com/video/BV1YV411T7tZ/,https://i1.hdslb.com/bfs/archive/43656ef93ea62ae2510f76185038b4642894a7a6.jpg@672w_378h_1c_!web-search-common-cover,6418,3,04:08,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-7-12
对话Midjourney创始人大卫·霍尔茨，AI绘画工具背后的创业故事 | AI夜话,https://www.bilibili.com/video/BV1N8411X7j6/,https://i2.hdslb.com/bfs/archive/c00eaab9a9754d825850a997616e26bc796fe497.jpg@672w_378h_1c_!web-search-common-cover,1209,0,04:56,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-8-25
对话AI沃伦·巴菲特，谈投资策略、财富创造，如何走向财富自由 | AI夜话,https://www.bilibili.com/video/BV1Hz4y1x7uD/,https://i1.hdslb.com/bfs/archive/874c5280af0816849967d72bc0a5e45f5d6c67ee.jpg@672w_378h_1c_!web-search-common-cover,6044,4,05:55,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-7-25
赵大师兄携AI夜话嘉宾代表给大家拜年啦！龙年大吉！,https://www.bilibili.com/video/BV1Su4m1K7Wv/,https://i1.hdslb.com/bfs/archive/e8dc50b87573098efe45c54ae5e575064beee66f.jpg@672w_378h_1c_!web-search-common-cover,2246,4,01:25,https://space.bilibili.com/570352559,AI赵大师兄, · 2-8
金山夜话 2015-01-26期 白领老公的恋足癖,https://www.bilibili.com/video/BV1pA41147Rd/,https://i2.hdslb.com/bfs/archive/a488cd4bdc522726f9054f966d06b1fca2c4993b.jpg@672w_378h_1c_!web-search-common-cover,1.1万,38,01:29:15,https://space.bilibili.com/233975458,月色溶溶映舜耕, · 2020-12-18
小师妹对话大师兄：程前翻车事件带来哪些启示？ | AI夜话,https://www.bilibili.com/video/BV1Ei4y1q7qQ/,https://i1.hdslb.com/bfs/archive/2d28ede2bf99aa3e6edf065bda405c43a3563bc1.jpg@672w_378h_1c_!web-search-common-cover,3296,1,03:28,https://space.bilibili.com/570352559,AI赵大师兄, · 1-19
【AI生成】vup动态背景套装（7色）｜卧室夜话 ɴɪɢʜᴛ ʙᴇᴅʀᴏᴏᴍ｜mp4+png,https://www.bilibili.com/video/BV1PF41197Ut/,https://i2.hdslb.com/bfs/archive/11def627d30516fc026a4d5f639ce5292007436d.jpg@672w_378h_1c_!web-search-common-cover,2378,0,01:43,https://space.bilibili.com/1333545488,AI骑士绘子小姐, · 2023-7-11
李佳琦的“病根”在哪里？为什么会“墙倒众人推”？精英的傲慢是怎么产生的 | AI夜话,https://www.bilibili.com/video/BV1Mh4y1N7mv/,https://i1.hdslb.com/bfs/archive/582c41d30bec9e4fcbd0eb435cc8bfde3c113450.jpg@672w_378h_1c_!web-search-common-cover,4943,8,03:51,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-12
瑞幸“酱香拿铁”火爆之后，星巴克怎么看？AI夜话，对话星巴克创始人霍华德·舒尔茨 | AI夜话,https://www.bilibili.com/video/BV1Wu411w7tz/,https://i1.hdslb.com/bfs/archive/819a9e28cc2a7161095ddb33fcfa1927ebb46685.jpg@672w_378h_1c_!web-search-common-cover,6430,1,03:44,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-9-6
“毒舌小王子”王尔德，谈东方甄选的“小作文事件”与“饭圈文化”,https://www.bilibili.com/video/BV1vu4y1J7Nm/,https://i0.hdslb.com/bfs/archive/2cb631be923665dd1e2e402cf689e69f555a8f08.jpg@672w_378h_1c_!web-search-common-cover,1.6万,6,02:25,https://space.bilibili.com/570352559,AI赵大师兄, · 2023-12-16
郑允浩solo《夜话  CityLights》东方神起安可演唱会 饭拍 TVXQ!-CIRCLE-with,https://www.bilibili.com/video/BV1Qb411n7m1/,https://i0.hdslb.com/bfs/archive/162b2029608c12df767dac8a8e082a3b5f146a89.jpg@672w_378h_1c_!web-search-common-cover,4.7万,491,22:38,https://space.bilibili.com/223335723,亚岚图, · 2019-3-13
《AI夜话：激荡·智能驾驶》,https://www.bilibili.com/video/BV1Bq4y1D7W1/,https://i2.hdslb.com/bfs/archive/551c81503e89d79f0e80c474c0de49d2d2a92080.jpg@672w_378h_1c_!web-search-common-cover,42,2,01:16:54,https://space.bilibili.com/340632211,-XXAY-, · 2021-8-3
